Title,Description,Genres,Poster_URL
Paranormal Activity: The Marked Ones,"Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighbor’s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that won’t rest until it’s claimed his very soul.","Horror, Thriller",https://image.tmdb.org/t/p/w500/2o4vBAnORr9UnLMvWHhULGDHfzH.jpg
5 Shells,After a financial apocalypse a young girl must protect her older sister as they wander a desert searching for a new home.,"Drama, Science Fiction",https://image.tmdb.org/t/p/w500/hIhyTcQaRx8rmjCfVdXxZDk2vnk.jpg
Les Misérables,"In 19th century France, Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.","Drama, History, Romance, TV Movie",https://image.tmdb.org/t/p/w500/ymNTn7ZKW7j1MUr9e3qmJZ7YavG.jpg
Blue Cave,"When Cem finds himself at the brink of losing the love of his life, Alara, he embarks on an expedition to the Blue Cave, Alara's most beloved archeological site, to feel close to her again.",Drama,https://image.tmdb.org/t/p/w500/32hWYgxMOudSgA6tR8nlVTUtoOi.jpg
Book Club: The Next Chapter,"Four best friends take their book club to Italy for the fun girls' trip they never had. When things go off the rails and secrets are revealed, their relaxing vacation turns into a once-in-a-lifetime cross-country adventure.","Comedy, Romance",https://image.tmdb.org/t/p/w500/lXoeOcWWhPpLH1wzTIhOx8jydBo.jpg
Ricki and the Flash,"Meryl Streep stars as Ricki Rendazzo, a guitar heroine who made a world of mistakes as she followed her dreams of rock-and-roll stardom. Returning home, Ricki gets a shot at redemption and a chance to make things right as she faces the music with her family.","Comedy, Drama, Music",https://image.tmdb.org/t/p/w500/y9hw9XSk8uVgLRfq3cweiAEJtU.jpg
Happy New Year,Six would-be thieves enter a prestigious dance competition as a cover for their larger goal of pulling off a major heist.,"Action, Comedy, Crime, Adventure",https://image.tmdb.org/t/p/w500/hJRDXUZdFO5bicGpKNObivaPN5X.jpg
The Estate,"Down-on-her-luck divorcee Macey and her fickle sister Savanna attempt to win over their terminally ill, difficult-to-please Aunt Hilda in hopes of becoming the beneficiaries of her wealthy estate, only to find the rest of their greedy family members have the same idea.","Comedy, Drama",https://image.tmdb.org/t/p/w500/mYgS4djsVj61kzEpX43LklGUfgK.jpg
Non Non Biyori: Vacation,"Even when you're fortunate enough to live in a place as beautiful as the country village of Asahigaoka, you should never turn down the chance to explore someplace else. So, when Suguru wins a free trip to Okinawa just as the summer vacation is coming to an end, the town's entire school… all 5 students and 1 teacher, plus the local candy shop owner… can hardly wait for their 3-day trip to begin! Between kayaking, swimming and meeting new people, there's always something fun happening, but the best part of all is that big city girl Hotaru and her new small-town friends all get to explore the wonders of Japan's famous vacation destination together. Prepare for the perfect trip as the whole gang boards the plane!","Comedy, Animation, Adventure, Drama",https://image.tmdb.org/t/p/w500/bzcITTrfYUXbd2RiHWkXyZruawo.jpg
The Stepfather,"Michael Harding returns home from military school to find his mother happily in love and living with her new boyfriend, David. As the two men get to know each other, Michael becomes more and more suspicious of the man who is always there with a helpful hand. Is he really the man of her dreams or could David be hiding a dark side?","Horror, Thriller",https://image.tmdb.org/t/p/w500/bTolBUgHeU4Tcq8HjBxL92f9wLm.jpg
